 124/99998     8.96G   0.06266   0.04659         0    0.1093      1553       640    0.8527    0.5996    0.6573    0.3339   0.05799   0.04049         0
 125/99998     8.96G   0.06174   0.04595         0    0.1077      1591       640    0.8529    0.5997    0.6572     0.334   0.05798   0.04048         0
 126/99998     8.96G   0.06289   0.04691         0    0.1098      1299       640    0.8508     0.601    0.6575    0.3342   0.05797   0.04048         0
 127/99998     8.96G    0.0627   0.04592         0    0.1086      1494       640    0.8516    0.6007    0.6576    0.3343   0.05796   0.04048         0
 128/99998     8.96G    0.0621   0.04692         0     0.109       713       640    0.8542    0.5994    0.6575    0.3344   0.05795   0.04046         0
 129/99998     8.96G   0.06287   0.04674         0    0.1096      1509       640     0.852    0.6011    0.6579    0.3345   0.05794   0.04046         0
 130/99998     8.96G   0.06241    0.0466         0     0.109      1006       640    0.8516    0.6014    0.6581    0.3346   0.05793   0.04046         0
 131/99998     8.96G   0.06189   0.04646         0    0.1083      1271       640    0.8424    0.6064    0.6585    0.3347   0.05792   0.04046         0
 132/99998     8.96G   0.06263   0.04671         0    0.1093      1766       640     0.843    0.6062    0.6589    0.3348   0.05791   0.04045         0
 133/99998     8.96G   0.06234   0.04633         0    0.1087      1040       640    0.8501    0.6026     0.659     0.335    0.0579   0.04045         0
 134/99998     8.96G   0.06217   0.04678         0     0.109      1390       640    0.8507    0.6026     0.659     0.335    0.0579   0.04044         0
 135/99998     8.96G   0.06188   0.04587         0    0.1078      1223       640    0.8463    0.6046     0.659    0.3351   0.05789   0.04044         0
 136/99998     8.96G   0.06229    0.0458         0    0.1081      1051       640    0.8463    0.6052    0.6594    0.3351   0.05789   0.04044         0
 137/99998     8.96G   0.06197   0.04658         0    0.1085      1022       640    0.8469     0.605    0.6595    0.3351   0.05788   0.04044         0
 138/99998     8.96G    0.0623   0.04719         0    0.1095      1450       640    0.8469    0.6048    0.6593    0.3352   0.05788   0.04044         0
 139/99998     8.96G   0.06173    0.0464         0    0.1081      1273       640    0.8467    0.6048    0.6595    0.3353   0.05787   0.04044         0
